Temperature (°C),Humidity (%),Soil Moisture (%),Soil pH,Nitrogen (kg/ha),Potassium (kg/ha),Phosphorus (kg/ha),Output
15,60,40,5.5,50,120,30,1
15,60,40,5.5,51,121,31,2
15,60,40,5.5,52,122,32,3
15,60,40,5.5,53,123,33,4
15,60,40,5.5,54,124,34,5
15,60,40,5.5,55,125,35,6
15,60,40,5.5,56,126,36,7
15,60,40,5.5,57,127,37,8
15,60,40,5.5,58,128,38,9
15,60,40,5.5,59,129,39,10
15,60,40,5.5,60,130,40,11
15,60,40,5.5,61,131,41,12
15,60,40,5.5,62,132,42,13
15,60,40,5.5,63,133,43,14
15,60,40,5.5,64,134,44,15
15,60,40,5.5,65,135,45,16
15,60,40,5.5,66,136,46,17
15,60,40,5.5,67,137,47,18
15,60,40,5.5,68,138,48,19
15,60,40,5.5,69,139,49,20
15,60,40,5.5,70,140,50,21
15,60,40,5.5,71,141,51,22
15,60,40,5.5,72,142,52,23
15,60,40,5.5,73,143,53,24
15,60,40,5.5,74,144,54,25
15,60,40,5.5,75,145,55,26
15,60,40,5.5,76,146,56,27
15,60,40,5.5,77,147,57,28
15,60,40,5.5,78,148,58,29
15,60,40,5.5,79,149,59,30
15,60,40,5.5,80,150,60,31
15,60,40,5.5,81,151,61,32
15,60,40,5.5,82,152,62,33
15,60,40,5.5,83,153,63,34
15,60,40,5.5,84,154,64,35
15,60,40,5.5,85,155,65,36
15,60,40,5.5,86,156,66,37
15,60,40,5.5,87,157,67,38
15,60,40,5.5,88,158,68,39
15,60,40,5.5,89,159,69,40
15,60,40,5.5,90,160,70,41
15,60,40,5.5,91,161,71,42
15,60,40,5.5,92,162,72,43
15,60,40,5.5,93,163,73,44
15,60,40,5.5,94,164,74,45
15,60,40,5.5,95,165,75,46
15,60,40,5.5,96,166,76,47
15,60,40,5.5,97,167,77,48
15,60,40,5.5,98,168,78,49
15,60,40,5.5,99,169,79,50
15,60,40,5.5,100,170,80,51
20,60,40,5.5,50,120,30,52
20,60,40,5.5,51,121,31,53
20,60,40,5.5,52,122,32,54
20,60,40,5.5,53,123,33,55
20,60,40,5.5,54,124,34,56
20,60,40,5.5,55,125,35,57
20,60,40,5.5,56,126,36,58
20,60,40,5.5,57,127,37,59
20,60,40,5.5,58,128,38,60
20,60,40,5.5,59,129,39,61
20,60,40,5.5,60,130,40,62
20,60,40,5.5,61,131,41,63
20,60,40,5.5,62,132,42,64
20,60,40,5.5,63,133,43,65
20,60,40,5.5,64,134,44,66
20,60,40,5.5,65,135,45,67
20,60,40,5.5,66,136,46,68
20,60,40,5.5,67,137,47,69
20,60,40,5.5,68,138,48,70
20,60,40,5.5,69,139,49,71
20,60,40,5.5,70,140,50,72
20,60,40,5.5,71,141,51,73
20,60,40,5.5,72,142,52,74
20,60,40,5.5,73,143,53,75
20,60,40,5.5,74,144,54,76
20,60,40,5.5,75,145,55,77
20,60,40,5.5,76,146,56,78
20,60,40,5.5,77,147,57,79
20,60,40,5.5,78,148,58,80
20,60,40,5.5,79,149,59,81
20,60,40,5.5,80,150,60,82
20,60,40,5.5,81,151,61,83
20,60,40,5.5,82,152,62,84
20,60,40,5.5,83,153,63,85
20,60,40,5.5,84,154,64,86
20,60,40,5.5,85,155,65,87
20,60,40,5.5,86,156,66,88
20,60,40,5.5,87,157,67,89
20,60,40,5.5,88,158,68,90
20,60,40,5.5,89,159,69,91
20,60,40,5.5,90,160,70,92
20,60,40,5.5,91,161,71,93
20,60,40,5.5,92,162,72,94
20,60,40,5.5,93,163,73,95
20,60,40,5.5,94,164,74,96
20,60,40,5.5,95,165,75,97
20,60,40,5.5,96,166,76,98
20,60,40,5.5,97,167,77,99
20,60,40,5.5,98,168,78,100
20,60,40,5.5,99,169,79,101
20,60,40,5.5,100,170,80,102
25,60,40,5.5,50,120,30,103
25,60,40,5.5,51,121,31,104
25,60,40,5.5,52,122,32,105
25,60,40,5.5,53,123,33,106
25,60,40,5.5,54,124,34,107
25,60,40,5.5,55,125,35,108
25,60,40,5.5,56,126,36,109
25,60,40,5.5,57,127,37,110
25,60,40,5.5,58,128,38,111
25,60,40,5.5,59,129,39,112
25,60,40,5.5,60,130,40,113
25,60,40,5.5,61,131,41,114
25,60,40,5.5,62,132,42,115
25,60,40,5.5,63,133,43,116
25,60,40,5.5,64,134,44,117
25,60,40,5.5,65,135,45,118
25,60,40,5.5,66,136,46,119
25,60,40,5.5,67,137,47,120
25,60,40,5.5,68,138,48,121
25,60,40,5.5,69,139,49,122
25,60,40,5.5,70,140,50,123
25,60,40,5.5,71,141,51,124
25,60,40,5.5,72,142,52,125
25,60,40,5.5,73,143,53,126
25,60,40,5.5,74,144,54,127
25,60,40,5.5,75,145,55,128
25,60,40,5.5,76,146,56,129
25,60,40,5.5,77,147,57,130
25,60,40,5.5,78,148,58,131
25,60,40,5.5,79,149,59,132
25,60,40,5.5,80,150,60,133
25,60,40,5.5,81,151,61,134
25,60,40,5.5,82,152,62,135
25,60,40,5.5,83,153,63,136
25,60,40,5.5,84,154,64,137
25,60,40,5.5,85,155,65,138
25,60,40,5.5,86,156,66,139
25,60,40,5.5,87,157,67,140
25,60,40,5.5,88,158,68,141
25,60,40,5.5,89,159,69,142
25,60,40,5.5,90,160,70,143
25,60,40,5.5,91,161,71,144
25,60,40,5.5,92,162,72,145
25,60,40,5.5,93,163,73,146
25,60,40,5.5,94,164,74,147
25,60,40,5.5,95,165,75,148
25,60,40,5.5,96,166,76,149
25,60,40,5.5,97,167,77,150
25,60,40,5.5,98,168,78,151
25,60,40,5.5,99,169,79,152
25,60,40,5.5,100,170,80,153
30,60,40,5.5,50,120,30,154
30,60,40,5.5,51,121,31,155
30,60,40,5.5,52,122,32,156
30,60,40,5.5,53,123,33,157
30,60,40,5.5,54,124,34,158
30,60,40,5.5,55,125,35,159
30,60,40,5.5,56,126,36,160
30,60,40,5.5,57,127,37,161
30,60,40,5.5,58,128,38,162
30,60,40,5.5,59,129,39,163
30,60,40,5.5,60,130,40,164
30,60,40,5.5,61,131,41,165
30,60,40,5.5,62,132,42,166
30,60,40,5.5,63,133,43,167
30,60,40,5.5,64,134,44,168
30,60,40,5.5,65,135,45,169
30,60,40,5.5,66,136,46,170
30,60,40,5.5,67,137,47,171
30,60,40,5.5,68,138,48,172
30,60,40,5.5,69,139,49,173
30,60,40,5.5,70,140,50,174
30,60,40,5.5,71,141,51,175
30,60,40,5.5,72,142,52,176
30,60,40,5.5,73,143,53,177
30,60,40,5.5,74,144,54,178
30,60,40,5.5,75,145,55,179
30,60,40,5.5,76,146,56,180
30,60,40,5.5,77,147,57,181
30,60,40,5.5,78,148,58,182
30,60,40,5.5,79,149,59,183
30,60,40,5.5,80,150,60,184
30,60,40,5.5,81,151,61,185
30,60,40,5.5,82,152,62,186
30,60,40,5.5,83,153,63,187
30,60,40,5.5,84,154,64,188
30,60,40,5.5,85,155,65,189
30,60,40,5.5,86,156,66,190
30,60,40,5.5,87,157,67,191
30,60,40,5.5,88,158,68,192
30,60,40,5.5,89,159,69,193
30,60,40,5.5,90,160,70,194
30,60,40,5.5,91,161,71,195
30,60,40,5.5,92,162,72,196
30,60,40,5.5,93,163,73,197
30,60,40,5.5,94,164,74,198
30,60,40,5.5,95,165,75,199
30,60,40,5.5,96,166,76,200
30,60,40,5.5,97,167,77,201
30,60,40,5.5,98,168,78,202
30,60,40,5.5,99,169,79,203
30,60,40,5.5,100,170,80,204
35,60,40,5.5,50,120,30,205
35,60,40,5.5,51,121,31,206
35,60,40,5.5,52,122,32,207
35,60,40,5.5,53,123,33,208
35,60,40,5.5,54,124,34,209
35,60,40,5.5,55,125,35,210
35,60,40,5.5,56,126,36,211
35,60,40,5.5,57,127,37,212
35,60,40,5.5,58,128,38,213
35,60,40,5.5,59,129,39,214
35,60,40,5.5,60,130,40,215
35,60,40,5.5,61,131,41,216
35,60,40,5.5,62,132,42,217
35,60,40,5.5,63,133,43,218
35,60,40,5.5,64,134,44,219
35,60,40,5.5,65,135,45,220
35,60,40,5.5,66,136,46,221
35,60,40,5.5,67,137,47,222
35,60,40,5.5,68,138,48,223
35,60,40,5.5,69,139,49,224
35,60,40,5.5,70,140,50,225
35,60,40,5.5,71,141,51,226
35,60,40,5.5,72,142,52,227
35,60,40,5.5,73,143,53,228
35,60,40,5.5,74,144,54,229
35,60,40,5.5,75,145,55,230
35,60,40,5.5,76,146,56,231
35,60,40,5.5,77,147,57,232
35,60,40,5.5,78,148,58,233
35,60,40,5.5,79,149,59,234
35,60,40,5.5,80,150,60,235
35,60,40,5.5,81,151,61,236
35,60,40,5.5,82,152,62,237
35,60,40,5.5,83,153,63,238
35,60,40,5.5,84,154,64,239
35,60,40,5.5,85,155,65,240
35,60,40,5.5,86,156,66,241
35,60,40,5.5,87,157,67,242
35,60,40,5.5,88,158,68,243
35,60,40,5.5,89,159,69,244
35,60,40,5.5,90,160,70,245
35,60,40,5.5,91,161,71,246
35,60,40,5.5,92,162,72,247
35,60,40,5.5,93,163,73,248
35,60,40,5.5,94,164,74,249
35,60,40,5.5,95,165,75,250
35,60,40,5.5,96,166,76,251
35,60,40,5.5,97,167,77,252
35,60,40,5.5,98,168,78,253
35,60,40,5.5,99,169,79,254
35,60,40,5.5,100,170,80,255
40,40,49,5.5,10,60,15,256
40,40,49,5.5,12,62,15.5,257
40,40,49,5.5,14,64,16,258
40,40,49,5.5,16,66,16.5,259
40,40,49,5.5,18,68,17,260
40,40,49,5.5,20,70,17.5,261
40,40,49,5.5,22,72,18,262
40,40,49,5.5,24,74,18.5,263
40,40,49,5.5,26,76,19,264
40,40,49,5.5,28,78,19.5,265
40,40,49,5.5,30,80,20,266
40,40,49,5.5,32,82,20.5,267
40,40,49,5.5,34,84,21,268
40,40,49,5.5,36,86,21.5,269
40,40,49,5.5,38,88,22,270
40,40,49,5.5,40,90,22.5,271
40,40,49,5.5,42,92,23,272
40,40,49,5.5,44,94,23.5,273
40,40,49,5.5,46,96,24,274
40,40,49,5.5,48,98,24.5,275
40,40,49,5.5,50,100,25,276
40,40,49,5.5,52,102,25.5,277
40,40,49,5.5,54,104,26,278
40,40,49,5.5,56,106,26.5,279
40,40,49,5.5,58,108,27,280
40,40,49,5.5,60,110,27.5,281
40,40,50,5.5,62,112,28,282
40,40,50,5.5,64,114,28.5,283
40,40,50,5.5,66,116,29,284
40,40,50,5.5,68,118,29.5,285
40,40,50,5.5,70,120,30,286
40,40,50,5.5,72,122,30.5,287
40,40,50,5.5,74,124,31,288
40,40,50,5.5,76,126,31.5,289
40,40,50,5.5,78,128,32,290
40,40,50,5.5,80,130,32.5,291
40,40,50,5.5,82,132,33,292
40,40,50,5.5,84,134,33.5,293
40,40,50,5.5,86,136,34,294
40,40,50,5.5,88,138,34.5,295
40,40,50,5.5,90,140,35,296
40,40,50,5.5,92,142,35.5,297
40,40,50,5.5,94,144,36,298
40,40,50,5.5,96,146,36.5,299
40,40,50,5.5,98,148,37,300
40,40,50,5.5,100,150,37.5,301
40,40,50,5.5,102,152,38,302
40,40,50,5.5,104,154,38.5,303
40,40,50,5.5,106,156,39,304
40,40,50,5.5,108,158,39.5,305
40,40,50,5.5,110,160,40,306
40,40,50,5.5,112,162,40.5,307
40,40,50,5.5,114,164,41,308
40,40,50,5.5,116,166,41.5,309
40,40,50,5.5,118,168,42,310
40,40,50,5.5,120,170,42.5,311
40,40,50,5.5,122,172,43,312
40,40,50,5.5,124,174,43.5,313
40,40,55,5.5,126,176,44,314
40,40,55,5.5,128,178,44.5,315
40,40,55,5.5,130,180,45,316
40,40,55,5.5,132,182,45.5,317
40,40,55,5.5,134,184,46,318
40,40,55,5.5,136,186,46.5,319
40,40,55,5.5,138,188,47,320
40,40,55,5.5,140,190,47.5,321
40,40,55,5.5,142,192,48,322
40,40,55,5.5,144,194,48.5,323
40,40,55,5.5,146,196,49,324
40,40,55,5.5,148,198,49.5,325
40,40,55,5.5,150,200,50,326
40,40,55,5.5,50,100,25,327
40,40,55,5.5,52,102,25.5,328
40,40,55,5.5,54,104,26,329
40,40,55,5.5,56,106,26.5,330
40,40,55,5.5,58,108,27,331
40,40,55,5.5,60,110,27.5,332
40,40,55,5.5,62,112,28,333
40,40,55,5.5,64,114,28.5,334
40,40,55,5.5,66,116,29,335
40,40,55,5.5,68,118,29.5,336
40,40,55,5.5,70,120,30,337
40,40,55,5.5,72,122,30.5,338
40,40,55,5.5,74,124,31,339
40,40,55,5.5,76,126,31.5,340
40,40,55,5.5,78,128,32,341
40,40,55,5.5,80,130,32.5,342
40,40,55,5.5,82,132,33,343
40,40,55,5.5,84,134,33.5,344
40,40,55,5.5,86,136,34,345
40,40,55,5.5,88,138,34.5,346
40,40,55,5.5,90,140,35,347
40,40,55,5.5,92,142,35.5,348
40,40,55,5.5,94,144,36,349
40,40,55,5.5,96,146,36.5,350
40,40,55,5.5,98,148,37,351
